Main Title,Full Review
My tv forever .,I love this app.     I never wait for time to watch my fav. Serials and movies.     Even its subscription is also very cheap.     You can get your serial news  movies even in differnt language. The most important thing we can resume our serials or movies from where we stopped even after months also.     The new feature attract where we can invite our friend to chat and talk about .     Live cricket  live news  everything we can watch at a time.     Now its new subscription of Disneyup is very nice . Even for your little one so many cartoon movies can watch.     Here I can watch several tournaments like cricket world cup hockey and many othet game.     And its search quality is very easy .     Even you will never get hang problem.but there is one condition that is applicaple only for star tv lovers.     Even I can download my serial and movies when I get full wifi. And can watch them later.     Its new feature where you can win coupen also. And earn so many reward.     Its my fav. App. You try hope it will your too.     Thanks     Soniya chetan kanoongo   
Pathetic app,Hotstar is one of the worst entertainment app which I have ever used in my lifetime.First of all the app is not stable especially if you are watching through TV.one you select any movie or a show it may not open.Support team will blame your device by default but will not offer any solution.Secondly they offer a show or movie only for a specific time period just to attract customers.once I subscribed to watch Friends tv show.After one month they removed the show.When I raised the issue they said rights for the show had got over.I was very disappointed with hotstar.Some of the limitations of hotstar are as follows.     1) .Concept: It provides very low picture quality with no high graphics in the display.You can only have one screen of premium content opened on one account at a time.You can watch in up to 2 devices only.If you have shared the password with your friends and also you have logged in your mobile as well as on your desktop then hotstar will not allow you to watch at the same time.     2) .Reliability and satisfaction: One cannot gets satisfied easily after watching content on hotstar It does not work with incognito mode It uses too much of data It requires high speed of data one cannot use it with slow speed of data.     3) .Subscription: Their subscription plans are really high one cannot easily afford them they charges high amount for average service.     4) .Service and support: It is not able to recover from temporary network issues always one needs to refresh the page If you go backward or forward it starts buffering all over again Their service quality is very low one cannot gets satisfied after having a conversation with their service team as they does not try to solve your issue Sometimes they behaves rudely and harshly with you.     5) .User friendly: It always displays lots of ads while watching content.If someone wanted to give them feedback it asks to login via facebook     FROM MY PERSONAL EXPERIENCE I STRICTLY RECOMMEND NOT TO PREFER HOTSTAR.   
Absolute scam,Absolute scam guys i got an android TV which came with hotstar app and shortcut in remote. Untill I havent paid it was working and the moment I paid for the whole year they updated the app and it doesn't work any more. The TV is just 1 year old.     What's the point of tie up with a tv brand if it won't work after the update.     I wrote to customer service and they expect me watch it on my mobile......     Absolute scamsters     Don't go for it......     I got Netflix on the same TV and works fine.....     This is a scam   
HotStar Disney Looting,I subscribed for VIP plan and it doesn't allow to watch VIP movies or for that matter any movies. No customer care no chat option. Just got looted going by the Disney brand name. God only can save these kind of frauds.   
Hotstar,Hotstar is one of the application which is helpful to watch the live programmes in tv.such as the live sports serials movies etc. The main purpose of this application is that when we miss any programmes or any serial episodes we search here the episode and we will get it.But im not much used to this I like this only a average because has no speed and it will automatically off sometimes won't get the live shows so I'm not that much interested so this application need some more improvements I hope it will make sooon.   
Already recharged but not showing.,I have already recharged with VIP plan of Rs. 399 per year but it is seeking again.     I am unable to see vip movies or series.   
BEST STREAMING ONLINE APP EVER,Hotstar is a very good app for 18+ . You can say best streaming app for us .     FACILITIES - If we missed to watch cricket match we can watch it later on this app     Live show and live match we can see here     Serials are available on this app . We can watch every serials advance in morning 7.00 clock on this app     Movies are available on this app     Web series and others series are available national or international both     For this you have to take subscribtion 365 for 1 years i think its a very cheap price it means 1 rs per day we have to spend     I will suggest everyone you can download this online streaming app basically serials lover first take the subscrption to get a vIp member   
Bug in hotstar website!!!,I noticed that when I visited hotstar website I need to upgrade vip.I asked help from my friend he gave me this bug that if we change time zone I can continue free trail again and again that is as good as vip. So I recommend hotstar team to fix this bug.   
Streaming quality,The quality of streaming on Hotstar is very very bad. Wouldn't suggest Hotstar to anyone. I was watching my first movie today and the I didn't even finish it because of poor quality of streaming.   
Bigg boss Malayalam,Bigg boss Malayalam team showing injustices to Mr. Rajith Kumar.   
3G,Only one reason child of Asianet    Within a month this channel will completely banned     and laletta whenever you get the award from them you are going down from our heart   
About cheap show big boss,In big boss malayalam rajith kumar a contestant was tortured mentally and physically and was thrown out of show without considering viewers who love him a lot   
Very Cheap Show Injustice....,Uninstalling Hotstar . Very Cheap Game Mohan Lal Insulted Dr. Rejith Kumar. The Eviction is Injustice.   
Ver poor,Supporting injustice and not acceptable uninstalling due to the eviction of dr rejith kumar we only downloaded to vote for him   
WORST WORST WORST APP,Once you Subscribe through this APP you will have to pay forever because no cancellation option is available. You will either have to close your bank account or replace a new card.     Think 10 times before subscribing to this nuisance.   
Hotstar Steals Money from Customer,We got annual membership from Hotstar as I wanted to cut down on the TV addiction and wanted my kids to focus on studies for their crucial next year on academics. I cancelled my subscription and was looking for a refund and it didn't happen. I called their customer support but they are reluctant to refund my money for the next 8 months that I'm not intending to watch. He said we can give you a$5 back as there is a promo going on. They just steal money no easy refund policy and make us feel as if we are cheating them for discontinuing the service. Very poor customer orientation.   
Very poor service,Very poor premium service. In spite of paying so much amount service is very poor. So many adds & no reply for mails sent   
Not what advertised,Got to the site when searching for "free movies" The first thing they ask is for payment. How they can get away with it is another mystery.   
Best app,This is an app done star. By this we can see many serials and realastic shows that is happening in vijay television . It is easy to use   
Worst app,There is no benefits in taking paid membership in this app since both paid and unpaid members will receive advertisements with same frequency. There won't be no value for the money we paid. Same advertisements will be repeatedly shown for several times in between the programmes..it wastes our time and makes us irritated..worst app.   
Worst  Hotstar !,Hotstar is definitely a brand but the support care service is worse.     Have an account and it doesn't allow to log in Raised a case with the customer team and they have the issue to log in again How many times I need to login.     And I don't know why custmr care word is not allowed to type here   
HOTSTAR....,I had a VIP account with HOTSTAR and few days back wanted to upgrade to premium to allow myself to watch some new English movies. I paid the difference amount via Google pay and amount got deducted from my account but the membership did not get upgraded. I sent an email to the cust service and they responded asking additional details and everything was provided. Case# 07-10-19-730733. Then a complete silence. No reply or acknowledgement. They have stolen INR 753 of my money and not replying. Most pathetic service provider. Cancelled my membership fully and plan to uninstall the app as well.again.please do not subscribe to HOTSTAR. They are cheaters who steal your money.     Update: issue resolved after HOTSTAR called and discussed with me.   
Hotstar,Its quite good and if you have a vip subscrpition then its too good as you can easily access to any movie serial live tv and many more .   
Worst app,This is a worst app taking a lot of data. very useless shows products and wasting time especially bigboss tamil for TRP ratings voting system is fake. many activities create by fakely drama for TRP especially in vijay super singer   
Worst customer server,Hotstar is a very worthless app. video stream stuck on loading and cannot watch properly. very irritating.   
It sucks up all your data.,I could barely watch 3 episodes. After that my data gets over. Once I watched a 30-minute episode of a T.V. series which consumed almost 800mb and which I switch the video quality to low. I was so shocked it almost consumed my 1gb jio data. After second day I use hotstar to watch a cricket matches. But my experience to watching cricket on hotstar is so bad As the video quality does not look very clear and consume lost of data.     The app is pretty much useless many other apps provide serials in free. Go for them.   
Hotstar is a Million Star,Hotstar is an application that iam going to to decide here The hotstar application is a great application that attracts everyone very differently.Then Tv movies sports and news are it'smain feature.Hotstar is very broad application that offers more prizes.Another feature that is generes and channels. and you can subscribe to it if you want premium membership.   
Hotstar is a rely Very good application....,Especially I would like to thanks for Devo Ke Dev Mahadev Uploding on Hot Star Thank you so much Hotstar . And thank you for uploding New Mahabharat This is also a very good serial.     Thanks & Regards     Vinay   
Require daily soap episode,Hotstar is a good platform where we can find the different movies and daily soaps. But there are some daily soaps which are half uploaded so I want the full episodes of one daily soap i.e Agnihotra on Star Pravah there is only 66 episodes uploaded on the hotstar I request you to please upload the whole episode of Agnihotra on hotstar.   
Horrendous Streaming Experience,Tried to watch the Liverpool Norwich game on the website stream. Every few minutes the stream would stop and show an error message.     Kindly fix asap.   
Hotstar app is best entertainment........,Hello friends     Today I will told you about hotstar app is useful or not     I think hotstar app is good one for watching TV ? series and the live Match of cricket kabbadi etc.     One of the plus point of ? hotstar is it has an great collection of TV shows we can watch old to old TV shows on hotstar     Hotstar app is very easy to handle ? and very good service provided by hotstar     ? Hotstar app have an amazing collection of not only theHollywood movies and web series but also the Bollywood movies and web series also     In my opinion ? hotstar is a best app to use as entertaining purpose   
Poor Quality,Hotstar is a very worthless app. The quality of its video varies automatically. I use Hotstar to watch a cricket matches. But my experience to watching cricket on hotstar is soo bad as the video quality does not look very clear and consume lots of data. In this application the rest of the entertainment video is also limited. Altogether hotstar is a very useless app. I will give four star out of ten .   
Everything requires Premium!,Hello everyone. Today I am going to review Hotstar. I do not like the features of this app.     Firstly it has very few options of TV shows movies and other entertainment purposes.     We can watch Star TV shows on Hotstar. But it does not get telecast on Hotstar on the actual time when the show is aired on Television.     Also they just want to gain money through its Hotstar Premium policy. Its expensive than others.     There are very few movies available to watch.     Not a good app.     Thank you!   
Impressive app For watching World cup matches,Today Semifinal I watched in Hotstar. A very impressive app that gives you real tv views.Today I seen semi final in Hotstar. Very nice qwality . Not so much data consuming . I watched full indian Inning only in 900mb data. great app for time pass and Entertainment.   
Hotstar special,Hiii. guys I am using hotstar app last 5 year its all features is effective in these app you can download any thing at less MB sport     news serial movie etc is there in these app so you can use these app and less MB HD quality news serial sport web series etc see   
Flooded with sequential Ads !!!,I opened a show on hotstar(without an account). Before the show video started they showed literally 4 ads in a row. These 4 ads had 2 repeated ads.     Even if I hadnt subscribed on hotstar its not acceptable if they line up 4-5 ads together.   
Bad,Most stupid app ever. I logged in to my oid device which is currently not with me. Someone eles is useing it and I suspect that pearson useing my hotstar account. Ichanged my password.but still it is showing me that'more than 2 premium videos are being watched.' New password is only with me. Very disappointend with this service.   
No refund on cancellation and buggy video player,Hi     I used hotstart for 3 months and had purchased an annual subscription. After some time their video player stopped doing rewind or perper pause and play for matches. That really annoyed me and lot of other people because the whole point of an online streaming video player is to allow for pause and play.     I called to ask for a fix and they had no timeline available for that.     I decided to move to another service and tried to cancel my subscription. They told me that they have a fine print in their plan that NO REFUND is allowed if you cancel your subscription. HOW IS THAT POSSIBLE? This is shady business practice. Tomorrow they stop providing service and refuse the refund also this is completely unethical and that should be made illegal. I am going to consult a lawyer to see if this is even allowed in US. I am using it from California.   
Hotstar is a on time Entertainment!,Hi I'm Shuaib so now the topic is Hotstar from last one year I'm using this app this is so good and yes of course it costs money but once u paid for this u can enjoy latest movies sports Actions TV serials and Hollywood blockbuster movies shows and more when u want where u want it's good so I prefer this as a Good idea for entertainment.Thank u   
